"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"326","100.507532700","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4021/46351, ttl=53 (request in 325)"
"328","101.518068800","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4022/46607, ttl=53 (request in 327)"
"330","102.547531800","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4023/46863, ttl=53 (request in 329)"
"332","103.548023700","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4024/47119, ttl=53 (request in 331)"
"334","104.556116100","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4025/47375, ttl=53 (request in 333)"
"336","105.569600800","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4026/47631, ttl=53 (request in 335)"
"338","106.587570500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4027/47887, ttl=53 (request in 337)"
"340","107.608090800","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4028/48143, ttl=53 (request in 339)"
"342","108.630105700","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4029/48399, ttl=53 (request in 341)"
"344","109.648619400","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4030/48655, ttl=53 (request in 343)"
"345","109.815019400","204.79.197.203","172.20.10.6","TCP","106","27 dBm","","","443  >  64722 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"347","110.667598800","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4031/48911, ttl=53 (request in 346)"
"349","111.678087300","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4032/49167, ttl=53 (request in 348)"
"351","112.688958900","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4033/49423, ttl=53 (request in 350)"
"352","113.649547100","40.81.31.55","172.20.10.6","TCP","106","28 dBm","","","443  >  65206 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"354","113.691025500","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4034/49679, ttl=53 (request in 353)"
"355","113.984198400","13.107.21.200","172.20.10.6","TCP","106","27 dBm","","","443  >  64991 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"357","114.708073700","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4035/49935, ttl=53 (request in 356)"
"358","115.329578000","202.89.233.96","172.20.10.6","TCP","106","28 dBm","","","443  >  54656 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"360","115.698098000","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4036/50191, ttl=53 (request in 359)"
"362","115.775836600","14.18.173.13","172.20.10.6","UDP","132","28 dBm","","","8000  >  1863 Len=38"
"363","116.377161500","168.62.200.169","172.20.10.6","TCP","106","28 dBm","","","443  >  56199 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"365","116.717651700","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4037/50447, ttl=53 (request in 364)"
