"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"240","97.385656600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3174/26124, ttl=54 (request in 239)"
"242","98.406702600","112.80.248.76","172.20.10.6","ICMP","126","19 dBm","","","Echo (ping) reply    id=0x0001, seq=3175/26380, ttl=54 (request in 241)"
"244","99.428703900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3176/26636, ttl=54 (request in 243)"
"246","100.435520200","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3177/26892, ttl=54 (request in 245)"
"248","101.443229900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3178/27148, ttl=54 (request in 247)"
"250","102.463184000","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3179/27404, ttl=54 (request in 249)"
"251","103.108280000","40.100.54.226","172.20.10.6","TLSv1.2","146","20 dBm","","","Application Data"
"254","103.472536600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3180/27660, ttl=54 (request in 253)"
"256","104.494222600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3181/27916, ttl=54 (request in 255)"
"258","105.509258700","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3182/28172, ttl=54 (request in 257)"
"260","106.518625300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3183/28428, ttl=54 (request in 259)"
"262","107.537619200","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3184/28684, ttl=54 (request in 261)"
"264","108.559815100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3185/28940, ttl=54 (request in 263)"
"266","109.566766300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3186/29196, ttl=54 (request in 265)"
"268","110.571301700","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3187/29452, ttl=54 (request in 267)"
"270","111.591312300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3188/29708, ttl=54 (request in 269)"
"272","112.598767400","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3189/29964, ttl=54 (request in 271)"
"274","113.609225800","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3190/30220, ttl=54 (request in 273)"
"276","114.614768600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3191/30476, ttl=54 (request in 275)"
"278","115.622255700","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3192/30732, ttl=54 (request in 277)"
"280","116.628757700","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3193/30988, ttl=54 (request in 279)"
"282","117.320849100","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","19 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"284","117.641333000","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3194/31244, ttl=54 (request in 283)"
"286","118.059750200","20.198.162.76","172.20.10.6","TLSv1.2","281","19 dBm","","","Application Data"
"289","118.638759100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3195/31500, ttl=54 (request in 288)"
"291","119.649488200","112.80.248.76","172.20.10.6","ICMP","126","19 dBm","","","Echo (ping) reply    id=0x0001, seq=3196/31756, ttl=54 (request in 290)"
"293","120.657641000","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3197/32012, ttl=54 (request in 292)"
"295","121.671348900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3198/32268, ttl=54 (request in 294)"
"297","122.698730500","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3199/32524, ttl=54 (request in 296)"
"299","123.689834900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3200/32780, ttl=54 (request in 298)"
"301","124.709403600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3201/33036, ttl=54 (request in 300)"
"303","125.731448900","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3202/33292, ttl=54 (request in 302)"
"305","126.737873400","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3203/33548, ttl=54 (request in 304)"
"307","127.755739300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3204/33804, ttl=54 (request in 306)"
"309","128.768898000","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3205/34060, ttl=54 (request in 308)"
"311","129.790799900","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3206/34316, ttl=54 (request in 310)"
"313","130.809755900","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3207/34572, ttl=54 (request in 312)"
"315","131.815812700","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3208/34828, ttl=54 (request in 314)"
"317","132.835864200","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3209/35084, ttl=54 (request in 316)"
"318","133.097395800","40.100.54.226","172.20.10.6","TLSv1.2","146","21 dBm","","","Application Data"
