"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"312","93.316411600","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2136/22536, ttl=51 (request in 311)"
"314","93.893941000","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","38 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"316","94.310678100","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2137/22792, ttl=51 (request in 315)"
"318","95.339541000","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2138/23048, ttl=51 (request in 317)"
"320","96.343244700","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2139/23304, ttl=51 (request in 319)"
"322","97.362642500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2140/23560, ttl=51 (request in 321)"
"324","98.372921100","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2141/23816, ttl=51 (request in 323)"
"326","99.380908300","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2142/24072, ttl=51 (request in 325)"
"328","100.382577400","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2143/24328, ttl=51 (request in 327)"
"330","101.402534900","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2144/24584, ttl=51 (request in 329)"
"332","102.399370300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2145/24840, ttl=51 (request in 331)"
"334","103.413820000","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2146/25096, ttl=51 (request in 333)"
"336","104.423733300","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2147/25352, ttl=51 (request in 335)"
"338","105.428477300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2148/25608, ttl=51 (request in 337)"
"340","106.475673500","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2149/25864, ttl=51 (request in 339)"
"342","107.493579800","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2150/26120, ttl=51 (request in 341)"
"344","108.494272100","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2151/26376, ttl=51 (request in 343)"
"346","109.492813000","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2152/26632, ttl=51 (request in 345)"
"348","110.535344300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2153/26888, ttl=51 (request in 347)"
"350","111.540571600","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2154/27144, ttl=51 (request in 349)"
"352","112.554449400","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2155/27400, ttl=51 (request in 351)"
"354","113.582003500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2156/27656, ttl=51 (request in 353)"
"356","114.588292700","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2157/27912, ttl=51 (request in 355)"
"358","115.607741500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2158/28168, ttl=51 (request in 357)"
"360","116.618476300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2159/28424, ttl=51 (request in 359)"
"362","117.766551900","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2160/28680, ttl=51 (request in 361)"
"364","118.661523400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2161/28936, ttl=51 (request in 363)"
"367","124.471722700","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2163/29448, ttl=51 (request in 366)"
"369","125.520592800","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2164/29704, ttl=51 (request in 368)"
"371","126.489219100","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2165/29960, ttl=51 (request in 370)"
"372","126.750882900","202.89.233.101","172.20.10.6","TCP","106","38 dBm","","","443  >  50066 [RST, ACK] Seq=7595 Ack=1303 Win=0 Len=0"
"374","127.577413400","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2166/30216, ttl=51 (request in 373)"
"376","128.530590900","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2167/30472, ttl=51 (request in 375)"
"378","129.415355300","202.89.233.101","172.20.10.6","TCP","106","37 dBm","","","443  >  50067 [RST, ACK] Seq=61044 Ack=1320 Win=0 Len=0"
"379","129.418841300","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","37 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"381","129.553453600","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2168/30728, ttl=51 (request in 380)"
"383","130.545600200","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2169/30984, ttl=51 (request in 382)"
"385","131.572922300","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2170/31240, ttl=51 (request in 384)"
"387","132.582413900","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2171/31496, ttl=51 (request in 386)"
"389","133.592307300","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2172/31752, ttl=51 (request in 388)"
"391","134.620495700","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2173/32008, ttl=51 (request in 390)"
"393","135.623151900","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2174/32264, ttl=51 (request in 392)"
"395","136.643836300","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2175/32520, ttl=51 (request in 394)"
"397","137.653004800","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2176/32776, ttl=51 (request in 396)"
"399","138.666090000","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2177/33032, ttl=51 (request in 398)"
"401","139.663082500","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2178/33288, ttl=51 (request in 400)"
"403","140.702949700","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2179/33544, ttl=51 (request in 402)"
