"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"790","76.236586","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-54 dBm","-93 dBm","39 dB","","6","Beacon frame, SN=2880, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"791","76.338968","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-54 dBm","-93 dBm","39 dB","","6","Beacon frame, SN=2881, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"792","76.441387","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2882, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"793","76.543788","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2883, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"794","76.646157","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2884, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"795","76.748590","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2885, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"796","76.850950","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-55 dBm","-93 dBm","38 dB","","6","Beacon frame, SN=2886, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"797","76.953379","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2887, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"798","77.055760","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2888, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"799","77.158180","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2889, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"800","77.260538","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2890, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"801","77.363025","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2891, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"802","77.465455","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2892, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"803","77.567775","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2893, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"804","77.670022","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2894, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"805","77.772572","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2895, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"806","77.874997","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2896, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"807","77.977375","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2897, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"808","78.079790","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2898, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"809","78.182172","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2899, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"810","78.284577","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2900, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"811","78.386974","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2901, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"812","78.489379","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2902, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"813","78.591801","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2903, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"814","78.694188","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2904, FN=0, Flags=........C, BI=100, SSID=Z5241154"
