"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"109","11.059423","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=47, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"110","11.161823","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=48, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"111","11.264253","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=49, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"112","11.366994","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=50, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"113","11.469022","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=51, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"114","11.571424","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=52, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"115","11.673830","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=53, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"116","11.776226","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=54, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"117","11.878630","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=55, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"118","11.981023","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=56, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"119","12.083274","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=57, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"120","12.185828","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=58, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"121","12.288263","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=59, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"122","12.390998","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=60, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"123","12.493039","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=61, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"124","12.595455","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=62, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"125","12.697829","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=63, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"126","12.800241","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=64, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"127","12.902654","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=65, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"128","13.005026","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=66, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"129","13.107426","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=67, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"130","13.209844","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=68, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"131","13.312230","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=69, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"132","13.414999","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=70, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"133","13.517056","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=71, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"134","13.619463","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=72, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"135","13.721862","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=73, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"136","13.824253","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=74, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"137","13.926644","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=75, FN=0, Flags=........C, BI=100, SSID=Z5241154"
