day,dailly_cases-16,dailly_cases-15,dailly_cases-14,dailly_cases-13,dailly_cases-12,dailly_cases-11,dailly_cases-10,dailly_cases-9,dailly_cases-8,dailly_cases-7,dailly_cases-6,dailly_cases-5,dailly_cases-4,dailly_cases-3,dailly_cases-2,dailly_cases-1
167,792,749,872,697,688,1028,1037,876,684,742,730,774,1141,1023,844,837
168,749,872,697,688,1028,1037,876,684,742,730,774,1141,1023,844,837,772
169,872,697,688,1028,1037,876,684,742,730,774,1141,1023,844,837,772,701
170,697,688,1028,1037,876,684,742,730,774,1141,1023,844,837,772,701,799
171,688,1028,1037,876,684,742,730,774,1141,1023,844,837,772,701,799,1040
172,1028,1037,876,684,742,730,774,1141,1023,844,837,772,701,799,1040,1166
173,1037,876,684,742,730,774,1141,1023,844,837,772,701,799,1040,1166,1004
174,876,684,742,730,774,1141,1023,844,837,772,701,799,1040,1166,1004,849
175,684,742,730,774,1141,1023,844,837,772,701,799,1040,1166,1004,849,937
176,742,730,774,1141,1023,844,837,772,701,799,1040,1166,1004,849,937,1110
177,730,774,1141,1023,844,837,772,701,799,1040,1166,1004,849,937,1110,1020
178,774,1141,1023,844,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136
179,1141,1023,844,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072
180,1023,844,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964
181,844,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738
182,837,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967
183,772,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991
184,701,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991,846
185,799,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991,846,1155
186,1040,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032
187,1166,1004,849,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944
188,1004,849,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944,771
189,849,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944,771,1020
190,937,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944,771,1020,861
191,1110,1020,1136,1072,964,738,967,991,846,1155,1032,944,771,1020,861,923
192,1020,1136,1072,964,738,967,991,846,1155,1032,944,771,1020,861,923,1151
